23-1022	Arbitrators, mediators, and conciliators	annual	69060	0	32440	0	58020	0	118090	0	bachelor	8.4	9.2	9.2	2
23-1023	Judges, magistrate judges, and magistrates	annual	116100	0	36720	0	126930	0	186720	0	doctoral or professional	29.7	29.9	0.6	4.5
25-1011	Business teachers, postsecondary	annual	92220	0	35370	0	75370	0	170640	0	doctoral or professional	106.8	116.2	8.8	28.3
25-1021	Computer science teachers, postsecondary	annual	84700	0	37570	0	74840	0	145450	0	doctoral or professional	43.4	47.2	8.7	11.5
25-1022	Mathematical science teachers, postsecondary	annual	77290	0	36360	0	67170	0	132620	0	doctoral or professional	63.5	73.9	16.4	21.7
25-1031	Architecture teachers, postsecondary	annual	84880	0	38360	0	73920	0	144380	0	doctoral or professional	9.1	9.9	9.4	2.5
25-1032	Engineering teachers, postsecondary	annual	104220	0	46460	0	95060	0	171330	0	doctoral or professional	46	52	13.2	14.2
25-1041	Agricultural sciences teachers, postsecondary	annual	95280	0	46680	0	90780	0	149960	0	doctoral or professional	12.1	12.8	6	2.9
25-1042	Biological science teachers, postsecondary	annual	86830	0	41170	0	75320	0	149710	0	doctoral or professional	64.3	74.8	16.2	21.8
25-1043	Forestry and conservation science teachers, postsecondary	annual	91030	0	45960	0	88270	0	143710	0	doctoral or professional	2.3	2.4	6.8	0.6
25-1051	Atmospheric, earth, marine, and space sciences teachers, postsecondary	annual	92540	0	42850	0	83150	0	152310	0	doctoral or professional	13.2	14.3	8.7	3.5
25-1052	Chemistry teachers, postsecondary	annual	86070	0	41800	0	75060	0	145300	0	doctoral or professional	26.6	30.7	15.4	8.8
25-1053	Environmental science teachers, postsecondary	annual	88570	0	44830	0	78770	0	146530	0	doctoral or professional	6.7	7.3	8.6	1.8
25-1054	Physics teachers, postsecondary	annual	93950	0	45220	0	82840	0	156280	0	doctoral or professional	17.7	20.4	15	5.8
25-1061	Anthropology and archeology teachers, postsecondary	annual	85440	0	43080	0	77650	0	141370	0	doctoral or professional	7.5	8.2	9.3	2
25-1062	Area, ethnic, and cultural studies teachers, postsecondary	annual	81700	0	37830	0	72300	0	139970	0	doctoral or professional	11.6	13.3	15.1	3.8
25-1063	Economics teachers, postsecondary	annual	106980	0	45220	0	94000	0	184240	0	doctoral or professional	17.3	18.9	9.7	4.7
25-1064	Geography teachers, postsecondary	annual	79690	0	41250	0	75400	0	124190	0	doctoral or professional	5.4	5.9	7.9	1.4
25-1065	Political science teachers, postsecondary	annual	88680	0	40150	0	76370	0	151940	0	doctoral or professional	21.6	23.7	9.7	5.9
25-1066	Psychology teachers, postsecondary	annual	79370	0	36630	0	70260	0	133810	0	doctoral or professional	47.3	54.7	15.8	15.8
25-1067	Sociology teachers, postsecondary	annual	76750	0	37030	0	69230	0	127500	0	doctoral or professional	20.7	23.9	15.3	6.8
25-1069	Social sciences teachers, postsecondary, all other	annual	79820	0	36800	0	67490	0	148230	0	doctoral or professional	12.9	15.1	17	4.5
25-1071	Health specialties teachers, postsecondary	annual	114510	0	41090	0	90840	0	187200	1	doctoral or professional	210.4	250.4	19	77.2
25-1072	Nursing instructors and teachers, postsecondary	annual	73150	0	41490	0	67480	0	112680	0	master	68.6	81.8	19.3	25.4
25-1081	Education teachers, postsecondary	annual	68200	0	31430	0	61560	0	114330	0	doctoral or professional	75.7	82.5	9.1	20.3
25-1082	Library science teachers, postsecondary	annual	73030	0	42560	0	67660	0	114120	0	doctoral or professional	5.6	6	8	1.4
25-1111	Criminal justice and law enforcement teachers, postsecondary	annual	64460	0	33060	0	58770	0	103260	0	doctoral or professional	17.4	21.1	21.4	6.8
25-1112	Law teachers, postsecondary	annual	126230	0	42150	0	105250	0	187200	1	doctoral or professional	21.1	25.7	21.7	8.3
25-1113	Social work teachers, postsecondary	annual	69030	0	32130	0	63390	0	113670	0	doctoral or professional	13.7	15.6	13.9	4.3
25-1121	Art, drama, and music teachers, postsecondary	annual	76710	0	33450	0	65340	0	129150	0	master	120.7	133.7	10.8	34.4
25-1122	Communications teachers, postsecondary	annual	70290	0	33070	0	63410	0	119400	0	doctoral or professional	36	39.5	9.7	9.9
25-1123	English language and literature teachers, postsecondary	annual	71210	0	34180	0	61990	0	121860	0	doctoral or professional	90.8	100.2	10.4	25.5
25-1124	Foreign language and literature teachers, postsecondary	annual	69520	0	34000	0	61380	0	118530	0	doctoral or professional	37.2	41.3	10.9	10.7
25-1125	History teachers, postsecondary	annual	76670	0	36730	0	69400	0	125620	0	doctoral or professional	29.2	32.1	10	8.1
25-1126	Philosophy and religion teachers, postsecondary	annual	75140	0	35280	0	66380	0	125050	0	doctoral or professional	30.7	34.2	11.6	9
25-1191	Graduate teaching assistants	annual	32510	0	17800	0	30810	0	50220	0	bachelor	159.2	169.1	6.2	38
25-1192	Home economics teachers, postsecondary	annual	69090	0	32210	0	64950	0	116290	0	master	4.3	3.8	-11.6	0.8
25-1193	Recreation and fitness studies teachers, postsecondary	annual	66090	0	29660	0	59280	0	114150	0	doctoral or professional	22.1	24.3	10.1	6.1
25-1194	Vocational education teachers, postsecondary	annual	54260	0	27590	0	49470	0	88910	0	bachelor	138.5	147.6	6.6	33.6
25-1199	Postsecondary teachers, all other	annual	71060	0	23100	0	63000	0	124000	0	doctoral or professional	232.3	254	9.3	62.8
25-2012	Kindergarten teachers, except special education	annual	54510	0	33940	0	51640	0	79960	0	bachelor	159.4	168.9	5.9	56.1
25-2021	Elementary school teachers, except special education	annual	57730	0	36190	0	54890	0	85550	0	bachelor	1358	1436.3	5.8	378.7
25-2022	Middle school teachers, except special and career/technical education	annual	58760	0	37350	0	55860	0	87060	0	bachelor	627.5	664.2	5.9	175.5
25-2023	Career/technical education teachers, middle school	annual	58480	0	37130	0	55190	0	86720	0	bachelor	13.7	14.6	5.9	3.9
25-2031	Secondary school teachers, except special and career/technical education	annual	60440	0	37800	0	57200	0	91190	0	bachelor	961.6	1017.5	5.8	284
25-2032	Career/technical education teachers, secondary school	annual	58170	0	38320	0	56130	0	83180	0	bachelor	79.6	79.9	0.4	19.2
25-2051	Special education teachers, preschool	annual	58210	0	33400	0	53990	0	91280	0	bachelor	25.5	27.8	9	7.1
25-2052	Special education teachers, kindergarten and elementary school	annual	58640	0	36900	0	55810	0	86990	0	bachelor	198.1	210.6	6.3	49.8
25-2053	Special education teachers, middle school	annual	60300	0	38320	0	57280	0	89820	0	bachelor	93	98.5	5.9	23
25-2054	Special education teachers, secondary school	annual	62180	0	38890	0	58500	0	94200	0	bachelor	134	141.9	5.9	33.1
25-2059	Special education teachers, all other	annual	57670	0	31730	0	53920	0	90420	0	bachelor	40.4	43.3	7.2	10.5
25-3011	Adult basic and secondary education and literacy teachers and instructors	annual	54060	0	28870	0	50280	0	83140	0	bachelor	77.5	83	7.1	20.1
25-4011	Archivists	annual	53880	0	30430	0	50250	0	86040	0	master	6.9	7.4	6.8	2.6
25-4012	Curators	annual	56990	0	28440	0	51520	0	91710	0	master	13.1	14.1	8	5.1
25-4013	Museum technicians and conservators	annual	44880	0	23200	0	40340	0	72570	0	bachelor	11.3	11.9	5.2	4.1
25-4021	Librarians	annual	58930	0	33810	0	56880	0	88530	0	master	143.1	145.7	1.9	29.5
25-9011	Audio-visual and multimedia collections specialists	annual	48220	0	26090	0	45890	0	74990	0	bachelor	10	10.8	7.9	1.8
25-9021	Farm and home management advisors	annual	51820	0	26050	0	49190	0	80240	0	master	10.8	11.9	10.9	2.2
25-9031	Instructional coordinators	annual	64870	0	35950	0	62270	0	97770	0	master	151.1	161.6	7	25.1
25-9099	Education, training, and library workers, all other	annual	44380	0	21420	0	40380	0	75170	0	bachelor	124	133.1	7.4	21.1
27-1011	Art directors	annual	101990	0	47320	0	89760	0	172900	0	bachelor	74.6	76.4	2.4	15.8
27-1013	Fine artists, including painters, sculptors, and illustrators	annual	54170	0	19140	0	46460	0	99140	0	bachelor	26.3	27.1	3.1	5.7
27-1014	Multimedia artists and animators	annual	70300	0	36930	0	63970	0	113600	0	bachelor	64.4	68.3	6	15.9
27-1021	Commercial and industrial designers	annual	69820	0	37630	0	67130	0	104730	0	bachelor	38.4	39.2	2	9.9
